sd	caller_kind	anchor	status
SD-48	procedure-step	-	baseline
SD-49	procedure-step	-	baseline
SD-50	procedure-step	-	baseline
SD-58	procedure-step	-	baseline
SD-61	procedure-step	-	baseline
SD-64	procedure-step	-	baseline
SD-65	procedure-step	-	baseline
SD-66	procedure-step	-	baseline
SD-67	procedure-step	-	baseline
SD-69	procedure-step	-	baseline
SD-70	procedure-step	-	baseline
SD-72	procedure-step	-	baseline
SD-78	procedure-step	-	baseline
SD-79	procedure-step	-	baseline
SD-83	procedure-step	-	baseline
SD-91	procedure-step	-	baseline
SD-92	procedure-step	-	baseline
SD-93	procedure-step	-	baseline
SD-97	procedure-step	-	baseline
SD-100	procedure-step	-	baseline
SD-103	procedure-step	-	baseline
SD-106	procedure-step	-	baseline
SD-110	procedure-step	-	baseline
SD-112	procedure-step	-	baseline
SD-111	procedure-step	core/HOOKS.md#Invariant Catalog	wired
